player_name,runs,balls,dismissals,sixes,fours,wickets,runs_conceded,balls_bowled
RM Patidar,1339,842,39,95,84,0,0,0
KA Jamieson,54,56,4,2,4,12,425,278
M Shahrukh Khan,715,522,37,46,47,1,29,18
JA Richardson,17,27,3,0,2,3,162,94
RP Meredith,0,0,0,0,0,18,536,370
C Sakariya,20,31,6,0,3,15,586,425
Lalit Yadav,280,276,14,6,26,9,416,281
Virat Singh,15,26,2,0,1,0,0,0
Jalaj S Saxena,0,0,0,0,0,0,27,18
LI Meriwala,0,0,0,0,0,1,32,19
FA Allen,14,19,2,0,1,2,98,67
KW Richardson,10,19,2,0,0,18,443,321
Anuj Rawat,271,215,11,13,24,0,0,0
DJ Malan,26,26,1,1,1,0,0,0
KS Bharat,187,156,5,7,11,0,0,0
PWH de Silva,65,81,13,0,6,39,925,657
VR Iyer,1359,1006,45,62,126,2,93,56
Umran Malik,23,16,2,2,1,28,635,417
GD Phillips,132,112,11,8,7,2,40,31
Akash Singh,0,0,0,0,0,13,406,256
GHS Garton,0,1,1,0,0,2,107,83
AK Markram,1476,1133,50,56,118,6,284,194
K Yadav,0,4,0,0,0,2,85,54
T Shamsi,2,4,0,0,0,3,133,96
NT Ellis,19,26,4,1,0,18,483,341
RV Patel,80,76,5,2,6,0,22,20
Anmolpreet Singh,129,109,7,3,17,0,0,0
IC Porel,0,0,0,0,0,1,42,26
AU Rashid,22,17,2,1,2,2,91,60
TH David,986,593,28,72,61,0,18,6
DP Conway,948,708,24,28,104,0,0,0
Tilak Varma,1612,1184,47,78,124,0,28,23
TL Seifert,43,39,5,1,6,0,0,0
R Powell,432,335,21,27,31,1,18,14
Akash Deep,19,11,2,1,2,7,377,206
PBB Rajapaksa,245,174,10,13,19,0,0,0
RA Bawa,19,18,2,0,1,1,11,8
OF Smith,50,49,3,5,1,2,149,75
A Badoni,1049,765,38,43,91,4,64,41
PVD Chameera,41,37,4,2,2,11,519,338
Mohsin Khan,24,28,4,1,2,36,861,605
MS Wade,165,167,12,1,21,0,0,0
A Manohar,247,217,17,11,20,0,0,0
R Shepherd,264,149,10,22,18,15,672,345
D Pretorius,44,28,4,3,3,5,201,141
Mukesh Choudhary,8,8,1,0,1,20,694,467
JM Sharma,897,592,39,57,68,0,0,0
VG Arora,10,28,4,0,0,45,1302,858
D Brevis,557,407,23,38,34,1,8,3
Rasikh Salam,28,30,4,0,4,24,603,385
B Sai Sudharsan,2244,1562,48,76,227,0,0,0
DG Nalkande,12,12,2,1,0,6,150,89
M Theekshana,15,25,2,1,0,28,1042,779
Shashank Singh,823,530,19,47,60,5,110,75
Ramandeep Singh,285,192,14,19,17,7,95,66
HE van der Dussen,10,15,2,0,1,0,0,0
KR Sen,0,3,0,0,0,12,270,184
Yash Dayal,4,8,2,0,0,34,1132,730
Aman Hakim Khan,107,101,8,5,8,0,13,6
SS Prabhudessai,76,78,7,2,6,0,0,0
HR Shokeen,61,64,2,0,8,5,303,207
OC McCoy,0,0,0,0,0,9,188,135
R Dhawan,185,161,8,6,16,22,785,597
DJ Mitchell,351,274,13,10,28,1,97,51
B Indrajith,21,31,3,0,2,0,0,0
Harshit Rana,49,48,6,3,3,34,911,605
K Kartikeya,7,8,2,0,1,9,319,236
Simarjeet Singh,10,15,3,0,0,11,387,243
Fazalhaq Farooqi,4,10,0,0,0,5,354,222
T Stubbs,841,588,23,39,59,3,53,25
PH Solanki,0,0,0,0,0,2,39,36
M Pathirana,0,0,0,0,0,45,1034,775
R Sai Kishore,18,16,4,2,0,27,644,422
R Sanjay Yadav,0,2,1,0,0,0,23,14
A Tomar,4,8,1,0,1,0,0,0
PN Mankad,97,75,3,2,13,0,0,0
RS Hangargekar,0,0,0,0,0,3,36,28
J Little,0,0,0,0,0,11,296,200
Sikandar Raza,125,99,6,5,8,2,123,75
Rahmanullah Gurbaz,363,283,17,22,34,0,0,0
KR Mayers,259,188,8,16,25,0,43,33
RR Rossouw,416,284,18,22,39,0,0,0
Mukesh Kumar,10,20,1,0,0,40,1313,770
NA Saini,0,0,0,0,0,0,35,15
HC Brook,190,159,9,4,23,0,0,0
Dhruv Jurel,1016,683,29,52,82,0,0,0
Suyash Sharma,0,0,0,0,0,24,1083,716
MG Bracewell,58,49,2,1,6,5,79,54
Yash Thakur,0,0,0,0,0,26,749,438
Abishek Porel,573,414,25,19,62,0,0,0
C Green,922,619,22,43,76,21,787,537
Arshad Khan,69,59,6,5,3,15,583,346
SSB Magala,0,0,0,0,0,1,52,37
MW Short,143,131,8,4,16,0,54,33
Mohit Rathee,1,2,0,0,0,0,29,12
WD Parnell,49,68,7,1,3,33,791,632
YV Dhull,16,23,3,0,1,0,0,0
N Wadhera,690,530,31,35,57,0,22,17
Vijaykumar Vyshak,16,17,2,1,0,25,887,526
Arjun Tendulkar,5,5,0,0,0,3,144,95
D Jansen,0,0,0,0,0,1,53,28
Noor Ahmad,31,58,10,1,2,56,1437,1075
Yudhvir Singh,8,8,2,1,0,6,209,115
Naveen-ul-Haq,3,8,0,0,0,17,475,311
Atharva Taide,247,174,8,8,27,0,4,1
Harpreet Singh,101,97,6,3,7,0,0,0
Liton Das,4,4,1,0,1,0,0,0
PD Salt,1076,632,31,55,121,0,0,0
Mayank Dagar,0,0,0,0,0,1,157,108
Abdul Basith,1,1,0,0,0,0,0,0
D Wiese,144,100,5,7,12,13,412,274
Gurnoor Brar,0,0,0,0,0,0,42,21
AJ Hosein,21,14,0,1,1,9,239,175
Akash Madhwal,4,5,0,0,0,24,559,351
R Goyal,0,0,0,0,0,0,34,24
JE Root,10,15,1,0,1,0,15,12
Vivrant Sharma,69,49,1,2,9,0,37,21
Nithish Kumar Reddy,708,525,25,41,44,10,521,308
KS Sharma,3,5,1,0,0,0,0,0
Sanvir Singh,18,16,1,0,2,0,0,0
H Sharma,0,0,0,0,0,0,62,30
MD Shanaka,56,43,4,5,1,1,62,38
R Ravindra,413,298,17,16,40,0,7,12
Sameer Rizvi,424,303,13,26,30,0,0,0
MA Starc,111,122,12,0,11,71,1587,1120
N Burger,13,8,0,1,0,18,498,312
Azmatullah Omarzai,137,95,9,9,10,15,541,344
SH Johnson,8,12,1,0,1,7,357,223
L Wood,9,3,0,1,0,1,94,38
Naman Dhir,663,411,25,34,63,0,76,53
